Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2019136111019,1,9,0,9,0,8,0,0,0,0,1,1,2,2,39,7,-1,-1,-1,2,1,2
2019136111019,2,9,0,18,0,8,0,7,0,0,1,1,2,1,56,9,-1,-1,-1,1,1,1
2019136111467,1,9,0,18,0,0,0,0,0,0,1,1,6,1,54,8,1986,2,12,2,1,2
2019136111467,2,9,0,18,0,0,0,0,0,0,2,1,6,1,50,8,1339,1,16,1,1,1
2019136111467,3,9,0,18,0,0,0,0,0,0,2,1,6,1,28,6,1329,1,8,3,1,3
2019136121066,1,9,0,18,0,1,0,0,0,0,1,1,6,1,46,8,1968,2,1,8,2,8
2019136121066,2,19,0,18,0,1,0,0,0,1,2,1,1,1,20,4,1248,2,9,1,1,1
2019136131015,1,9,0,18,0,1,0,0,0,0,1,1,6,2,52,8,1997,2,10,10,1,10
2019136131015,2,9,0,9,0,6,0,0,0,0,3,1,6,2,27,6,2993,2,8,8,1,8
2019136131184,1,9,0,18,0,0,0,0,0,0,1,1,2,2,33,6,999,1,2,3,1,3
2019136141369,1,9,0,18,0,0,0,0,0,0,4,1,6,2,28,6,1490,1,11,1,1,1
2019136141408,1,9,0,4,0,0,0,0,0,0,1,1,6,1,45,7,-1,-1,-1,5,1,5
2019136141408,2,9,0,4,0,0,0,0,0,0,2,1,6,1,58,9,999,1,2,6,1,6
2019136141408,3,21,1,4,0,0,0,0,0,0,2,1,1,1,22,5,-1,-1,-1,3,1,3
2019136161108,1,9,0,4,0,1,0,0,0,0,1,1,6,1,40,7,1296,1,11,1,1,1
2019136161108,2,9,0,18,0,1,0,0,7,10,4,1,6,1,58,9,1198,1,10,2,1,2
2019136171266,1,9,0,18,0,0,0,0,0,0,1,1,2,2,18,4,1390,1,5,9,1,9
2019136171275,1,9,0,9,0,7,0,0,0,0,1,1,6,1,68,10,1968,2,2,1,1,1
2019136171275,2,2,0,18,0,8,0,0,0,0,4,1,6,1,18,4,49,1,8,2,1,2
2019136180892,1,19,0,9,0,6,0,0,0,0,1,1,1,1,25,5,2402,2,11,6,2,6
2019136180985,1,19,0,18,0,0,0,0,0,0,1,1,6,1,55,8,2143,2,7,-1,-1,-1
2019136190232,1,9,0,18,0,6,0,0,0,0,1,1,6,1,39,7,2993,2,11,1,1,1
20191361A0253,1,2,0,18,0,0,0,0,0,0,4,1,2,1,18,4,102,1,14,5,1,5
20191361A1165,1,9,0,18,0,1,1,0,0,0,1,1,6,2,18,4,1968,2,9,3,1,3
20191361A1165,2,9,0,3,0,1,0,0,0,0,3,1,6,1,26,6,2143,2,10,1,1,1
20191361A1165,3,9,0,2,0,1,0,0,0,0,2,1,6,1,-1,-1,4163,1,12,-1,-1,-1
20191361A1322,1,9,0,18,0,0,0,0,0,0,4,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
20191361A1322,2,1,0,2,0,0,0,0,0,0,3,1,6,1,38,7,-1,-1,-1,-1,-1,-1
20191361A1552,1,9,0,18,0,0,0,0,0,0,1,1,6,1,83,11,1598,1,13,8,2,8
20191361A1552,2,9,0,2,0,0,0,0,0,0,2,1,6,2,57,9,999,1,4,6,1,6
20191361B0976,1,9,0,7,0,8,0,0,0,0,3,1,6,1,25,5,-1,-1,-1,3,1,3
20191361B0976,2,9,0,18,0,8,0,0,0,0,1,1,6,1,42,7,2776,2,16,-1,-1,-1
20191361B1771,1,9,0,18,0,4,0,0,0,0,1,1,6,2,34,6,1198,1,4,1,1,1
20191361B1771,2,9,0,9,0,8,0,0,0,0,1,1,1,1,25,5,1896,2,9,1,1,1
20191361C1579,1,9,0,4,0,0,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
20191361D0147,1,9,0,18,0,8,0,0,0,0,1,1,6,2,-1,-1,1686,2,8,-1,-1,-1
20191361D0147,2,9,0,18,0,8,0,0,0,0,3,1,1,1,34,6,1968,2,1,1,1,1
20191361D1101,1,9,0,18,0,0,0,0,0,0,2,1,6,2,20,4,998,1,1,4,1,4
20191361D1101,2,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1086,1,11,-1,-1,-1
20191361D1104,1,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1398,1,8,4,1,4
20191361D1104,2,9,0,4,0,0,0,0,0,0,2,1,6,1,42,7,2401,2,15,1,1,1
20191361E1186,1,9,0,9,0,8,0,0,0,0,4,1,6,1,54,8,-1,-1,-1,1,1,1
20191361E1186,2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191361E1616,1,9,0,3,0,1,0,0,0,0,2,1,6,1,37,7,1398,1,16,1,1,1
20191361E1616,2,9,0,3,0,1,0,0,0,0,2,1,6,1,53,8,1997,1,7,3,1,3
20191361E1616,3,9,0,18,0,1,0,0,0,0,1,1,2,1,26,6,5204,1,1,1,1,1
20191361F0282,1,9,0,18,0,8,0,0,0,0,1,1,6,2,38,7,1368,1,2,7,1,7
20191361F0282,2,9,0,18,0,6,0,0,0,0,1,1,6,1,29,6,2497,2,18,6,1,6
20191361F0282,3,9,0,2,0,2,0,0,0,0,2,1,6,3,-1,-1,1364,1,14,-1,-1,-1
20191361F0304,1,9,0,7,0,6,0,0,0,0,1,1,6,2,25,5,998,1,1,-1,-1,-1
20191361F0304,2,9,0,13,0,1,0,0,0,0,1,1,6,1,35,6,-1,-1,-1,8,1,8
20191361F1075,1,9,0,17,0,0,0,0,0,0,1,1,6,1,50,8,4172,1,14,1,1,1
20191361F1075,2,9,0,16,0,0,0,0,0,0,1,1,6,1,66,10,1968,2,5,9,2,9
20191361F1162,1,9,0,9,0,2,0,0,0,0,1,1,6,1,22,5,1242,1,4,6,1,6
20191361F1162,2,9,0,18,0,1,0,0,0,0,4,1,6,1,50,8,1956,2,4,2,1,2
20191361F1186,1,9,0,18,0,4,0,0,0,0,1,1,6,2,-1,-1,1198,1,9,-1,-1,-1
20191361F1186,2,9,0,18,0,4,0,0,0,0,2,1,1,2,28,6,1968,2,7,3,1,3
20191361F1200,1,9,0,18,0,0,0,0,0,0,1,1,2,2,24,5,1296,1,11,5,1,5
20191361F1395,1,9,0,18,0,8,0,0,0,11,3,1,6,2,37,7,1997,2,10,1,1,1
20191361F1395,2,8,0,18,0,8,0,0,0,0,1,1,6,1,40,7,-1,-1,-1,1,1,1
20191361G1247,1,9,0,4,0,1,0,0,0,0,1,1,6,2,41,7,1198,1,3,1,1,1
20191361G1247,2,9,0,4,0,1,0,0,0,0,2,1,6,2,45,7,1498,1,1,3,1,3
20191361G1702,1,9,0,18,0,4,0,0,0,0,3,1,6,1,45,7,1968,2,10,3,1,3
20191361G1702,2,9,0,18,0,8,0,0,0,0,1,1,6,2,38,7,1995,2,7,1,1,1
20191361H0253,1,9,0,9,0,8,0,0,0,0,1,1,3,2,23,5,1896,2,13,3,1,3
20191361H0349,1,9,0,9,0,6,0,0,0,0,1,1,6,2,42,7,1997,1,12,2,1,2
20191361H1209,1,9,0,5,0,8,0,0,0,0,1,1,2,1,24,5,1461,2,4,5,1,5
20191361I1326,1,9,0,18,0,1,0,0,0,0,4,1,2,1,18,4,998,1,4,3,1,3
20191361I1326,2,9,0,9,0,8,0,0,0,0,1,1,6,1,43,7,1995,2,2,6,1,6
20191361J0797,1,9,0,4,0,8,0,0,0,0,1,1,6,1,35,6,2967,2,11,3,1,3
20191361J0797,2,9,0,4,0,8,0,0,0,0,2,1,6,1,41,7,1910,2,11,1,1,1
20191361J0959,1,9,0,12,0,0,0,0,0,0,3,1,6,1,-1,-1,998,1,6,1,1,1
20191361J0959,2,9,0,18,0,0,0,0,0,0,4,1,6,1,35,6,998,1,2,2,1,2
20191361K0153,1,8,0,4,0,0,0,0,0,0,1,1,1,1,41,7,1797,8,8,4,1,4
20191361K0844,1,9,0,18,0,0,0,0,0,0,1,1,6,1,17,4,1248,2,9,5,1,5
20191361K0844,2,3,0,18,0,0,0,0,0,0,2,1,6,1,70,10,981,1,35,10,1,10
20191361K0931,1,9,0,18,0,4,0,0,0,0,1,1,6,1,54,8,1968,2,8,-1,-1,-1
20191361K0931,2,9,0,18,0,4,0,0,0,0,1,1,6,1,44,7,998,1,15,-1,-1,-1
20191361K1099,1,9,0,18,0,0,0,0,0,0,1,1,6,1,45,7,1896,2,12,3,1,3
20191361L1140,1,9,0,18,0,0,0,0,0,0,1,1,6,2,32,6,-1,-1,-1,4,1,4
20191361M0349,1,9,0,18,0,0,0,0,0,0,1,1,6,1,87,11,1596,1,6,6,1,6
20191361M0349,2,9,0,18,0,0,0,0,0,0,1,1,1,2,40,7,1560,2,3,1,1,1
20191361M1294,1,19,0,18,0,0,0,0,0,0,1,1,6,1,55,8,2298,2,4,6,3,6
20191361N0165,1,9,0,17,0,0,0,0,0,0,1,1,2,1,20,4,1398,1,5,2,1,2
20191361N0165,2,9,0,2,0,0,0,0,0,0,2,1,6,3,-1,-1,1598,2,3,5,1,5
20191361N0165,3,9,0,2,0,0,0,0,0,0,1,1,6,3,-1,-1,1390,1,15,5,1,5
20191361N0165,4,9,0,2,0,0,0,0,0,0,1,1,6,3,-1,-1,1968,2,13,5,1,5
20191361O0668,1,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1332,1,21,8,1,8
20191361O0668,2,9,0,4,0,0,0,0,0,0,2,1,6,2,45,7,1598,2,5,10,2,10
20191361O1427,1,9,0,18,0,0,0,0,0,0,4,1,6,1,59,9,1995,2,11,7,1,7
20191361P1623,1,9,0,7,0,6,0,0,0,0,1,1,6,2,25,5,1328,1,10,8,1,8
20191361P1623,2,5,0,18,0,1,0,0,0,0,4,1,6,1,58,9,1137,1,18,1,1,1
20191361Q0285,1,9,0,17,0,8,0,0,0,2,1,1,6,1,36,7,1497,8,4,4,1,4
20191361Q1093,1,3,0,18,0,0,1,0,0,0,0,1,6,1,19,4,125,1,2,1,1,1
20191361Q1770,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191361R1085,1,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1896,2,16,-1,-1,-1
20191361R1085,2,9,0,3,0,0,0,0,0,0,2,1,6,2,36,7,1968,2,13,1,1,1
20191361R1242,1,9,0,18,0,0,0,0,0,0,4,1,6,1,33,6,2204,2,12,1,1,1
20191361R1391,1,9,0,18,0,0,0,0,0,0,1,1,6,1,62,9,1398,1,1,10,2,10
20191361R1391,2,9,0,18,0,0,0,0,0,0,1,1,6,1,21,5,1242,1,6,4,2,4
20191361R1401,1,9,0,9,0,8,0,0,0,0,1,1,6,1,42,7,1586,1,9,4,1,4
20191361S1383,1,9,0,18,0,0,0,0,0,0,1,1,6,1,50,8,1995,2,12,8,1,8
20191361S1383,2,9,0,3,0,0,0,0,0,0,2,1,6,2,22,5,999,1,1,3,1,3
20191361S1383,3,9,0,3,0,0,0,0,0,0,2,1,2,1,25,5,998,1,3,5,2,5
20191361T1124,1,9,0,18,0,8,0,0,0,0,1,1,6,1,40,7,1598,1,13,1,1,1
20191361T1124,2,9,0,18,0,8,0,0,0,0,1,1,6,2,38,7,1997,2,11,4,1,4
20191361U0936,1,8,0,18,0,0,0,0,0,0,1,1,1,1,41,7,1797,8,8,4,1,4
20191361V0233,1,4,0,18,0,0,0,0,0,0,0,1,6,1,24,5,471,1,2,7,1,7
20191361V1101,1,3,0,13,0,1,0,0,0,0,1,1,6,1,19,4,125,1,7,1,1,1
20191361V1101,2,9,0,5,0,1,0,0,0,0,3,1,6,1,33,6,1968,2,7,6,1,6
20191361V1420,1,9,0,18,0,0,0,10,1,1,1,1,6,1,33,6,1396,1,9,1,1,1
2019136210374,1,19,0,18,0,0,0,0,0,11,3,1,6,1,56,9,2148,2,12,4,1,4
2019136211389,1,19,0,2,0,0,0,0,0,0,2,1,6,3,-1,-1,1598,2,6,-1,-1,-1
2019136211389,2,9,0,18,0,0,0,0,0,0,1,1,6,1,59,9,1596,1,16,8,1,8
2019136220607,1,9,0,18,0,0,0,4,0,0,1,1,6,2,60,9,1598,1,14,2,1,2
2019136220607,2,9,0,2,0,0,0,0,0,0,4,1,6,2,52,8,1339,1,13,-1,-1,-1
2019136220607,3,9,0,2,0,0,0,0,0,0,4,1,6,2,50,8,1339,1,17,-1,-1,-1
2019136230845,1,9,0,13,0,0,5,0,1,11,4,1,6,1,32,6,2143,2,6,5,1,5
2019136230845,2,9,0,18,0,0,0,0,0,0,3,1,6,1,23,5,998,1,4,3,1,3
2019136230845,3,9,0,18,0,0,0,0,0,0,1,1,6,1,39,7,1598,1,1,7,1,7
2019136231041,1,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
2019136241610,1,9,0,18,0,2,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019136241610,2,9,0,4,0,1,0,0,0,0,1,1,1,1,50,8,2993,2,2,6,1,6
2019136241610,3,9,0,18,0,1,0,0,0,0,3,1,6,1,27,6,1896,2,10,1,1,1
2019136251200,1,9,0,18,0,0,0,0,2,11,1,1,6,2,24,5,999,1,1,1,1,1
2019136260259,1,19,0,18,0,0,0,0,1,1,1,1,6,1,37,7,1560,2,9,7,1,7
2019136260939,1,20,0,5,0,6,0,0,0,0,1,1,1,1,55,8,6693,2,6,6,1,6
2019136260939,2,19,0,18,0,2,0,0,1,0,3,1,1,2,21,5,1499,2,1,7,2,7
2019136261374,1,5,0,18,0,0,5,0,0,0,1,1,6,1,34,6,689,1,1,6,-1,6
2019136261720,1,9,0,17,0,0,2,0,1,0,4,1,6,2,17,4,1598,1,14,6,1,6
2019136270933,1,9,0,5,0,5,0,0,0,0,3,1,6,2,35,6,2993,2,1,-1,-1,-1
2019136270933,2,9,0,18,0,8,0,0,0,0,1,1,6,2,35,6,-1,-1,-1,-1,-1,-1
2019136271098,1,9,0,14,0,0,0,0,0,0,1,1,3,2,33,6,1498,1,10,3,1,3
2019136290576,1,9,0,6,0,0,0,0,0,0,1,1,6,3,-1,-1,1598,1,15,-1,-1,-1
2019136290576,2,9,0,18,0,0,0,0,0,0,4,1,6,2,40,7,1329,1,6,2,1,2
2019136291070,1,9,0,1,0,0,0,0,0,0,2,1,6,1,54,8,-1,-1,-1,7,1,7
2019136291529,1,9,0,18,0,8,0,0,7,11,1,1,6,3,-1,-1,1197,1,2,-1,-1,-1
2019136291529,2,9,0,18,0,8,0,0,0,0,1,1,6,1,32,6,1956,2,5,1,1,1
2019136291529,3,9,0,18,0,1,0,0,0,0,0,1,1,1,43,7,1560,2,3,1,1,1
20191362B1327,1,9,0,18,0,0,0,0,0,0,4,1,6,1,21,5,1995,2,15,1,1,1
20191362C0379,1,9,0,18,0,1,0,0,0,0,1,1,1,1,55,8,1870,2,16,1,1,1
20191362C0379,2,21,0,18,0,2,0,0,0,0,1,1,1,1,51,8,12580,2,13,7,3,7
20191362C0478,1,9,0,9,0,5,0,0,0,0,4,1,6,1,22,5,1598,1,14,1,1,1
20191362D0330,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191362D1902,1,9,0,9,0,5,0,0,0,0,4,1,6,1,22,5,1968,2,7,1,1,1
20191362D1902,2,1,0,18,0,8,0,0,0,0,1,1,6,1,38,7,-1,-1,-1,1,1,1
20191362E1360,1,9,0,7,0,1,0,0,0,0,3,1,6,1,23,5,1197,1,2,1,1,1
20191362E1360,2,9,0,18,0,1,0,0,0,0,4,1,6,2,50,8,1198,1,13,1,1,1
20191362E2156,1,9,0,18,0,4,0,0,0,0,1,1,6,1,52,8,1984,1,1,-1,-1,-1
20191362E2156,2,19,0,18,0,8,0,0,0,0,4,1,6,1,24,5,2198,2,4,3,1,3
20191362E2156,3,9,0,18,0,8,0,0,0,0,4,1,6,1,47,8,1398,1,13,1,1,1
20191362F1133,1,9,0,16,0,0,0,0,0,0,1,1,6,2,70,10,1388,1,9,8,1,8
20191362F1133,2,9,0,17,0,0,0,0,0,0,1,1,6,1,71,10,1796,1,14,4,1,4
20191362F1637,1,1,0,18,0,8,0,0,0,0,4,1,6,1,52,8,-1,-1,-1,1,1,1
20191362F1637,2,9,0,7,0,6,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191362G0545,1,9,0,6,0,2,0,0,0,0,3,1,6,2,39,7,1968,2,6,5,1,5
20191362G0545,2,1,0,16,0,2,0,0,0,0,1,1,6,1,37,7,-1,-1,-1,6,1,6
20191362G1224,1,9,0,9,0,5,0,0,0,0,3,1,6,1,40,7,-1,-1,-1,4,1,4
20191362G1224,2,9,0,13,0,8,0,0,0,0,1,1,6,1,28,6,-1,-1,-1,6,1,6
20191362G2003,1,8,0,2,0,0,0,0,0,0,0,1,1,1,37,7,1560,2,8,1,1,1
20191362G2083,1,9,0,18,0,0,0,0,7,11,1,1,6,1,40,7,1968,2,3,1,1,1
20191362G2237,1,9,0,18,0,1,0,0,0,0,1,1,6,3,30,6,-1,-1,-1,-1,-1,-1
20191362G2237,2,9,0,18,0,1,0,0,0,0,3,1,6,1,26,6,1968,2,11,2,1,2
20191362H0216,1,9,0,18,0,8,1,0,3,11,3,1,6,1,32,6,1968,2,12,-1,-1,-1
20191362H0216,2,9,0,18,0,8,1,0,0,6,1,1,6,1,20,4,1910,2,11,-1,-1,-1
20191362H0442,1,9,0,12,0,4,0,0,0,0,3,1,1,1,28,6,1368,1,6,-1,-1,-1
20191362H0442,2,1,0,18,0,8,0,0,0,0,1,1,6,2,49,8,-1,-1,-1,1,1,1
20191362H1335,1,9,0,6,0,1,0,0,0,0,3,1,1,1,42,7,1995,2,8,1,1,1
20191362H1335,2,9,0,18,0,1,0,0,0,0,1,1,6,1,25,5,1560,2,3,7,-1,7
20191362I0808,1,9,0,9,0,0,0,0,0,0,4,1,6,2,77,11,1339,1,13,3,1,3
20191362I0808,2,5,0,18,0,0,2,0,0,0,1,1,6,1,41,7,600,1,18,1,1,1
20191362I1757,1,9,0,9,0,1,0,0,0,0,4,1,6,2,33,6,1461,2,5,2,1,2
20191362I1757,2,9,0,18,0,1,0,0,0,0,1,1,6,1,19,4,1968,2,10,8,1,8
20191362I1860,1,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,4367,2,8,-1,-1,-1
20191362I1860,2,9,0,18,0,0,0,0,0,0,2,1,6,1,31,6,1598,2,8,4,1,4
20191362J0850,1,9,0,18,0,1,0,0,0,0,1,1,6,1,-1,-1,1968,2,10,-1,-1,-1
20191362J0850,2,9,0,3,0,1,0,0,0,0,2,1,6,1,36,7,1968,2,3,-1,-1,-1
20191362J1338,1,9,0,18,0,8,0,0,0,0,3,1,6,2,25,5,-1,-1,-1,1,1,1
20191362J1338,2,9,0,18,0,8,0,0,0,0,1,1,6,2,37,7,1968,2,8,1,1,1
20191362J1385,1,9,0,18,0,1,0,0,0,0,4,1,6,1,30,6,1995,2,7,2,1,2
20191362J1385,2,9,0,12,0,1,0,0,0,0,3,1,6,2,55,8,999,1,1,3,1,3
20191362J1499,1,9,0,18,0,0,0,0,0,0,1,1,6,2,29,6,1296,1,12,3,1,3
20191362J1560,1,1,0,7,0,1,0,0,0,0,1,1,6,1,59,9,-1,-1,-1,1,1,1
20191362J1560,2,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191362K0408,1,9,0,18,0,0,0,0,0,0,1,1,6,1,25,5,1329,1,4,1,1,1
20191362K0408,2,9,0,18,0,0,0,0,0,0,1,1,6,1,31,6,1199,2,6,6,1,6
20191362K0768,1,9,0,18,0,0,0,0,0,0,1,1,6,1,26,6,1781,1,17,1,1,1
20191362K0868,1,9,0,9,0,8,0,0,0,0,1,1,6,2,35,6,2204,2,13,1,1,1
20191362K1100,1,9,0,18,0,0,0,0,0,0,4,1,6,2,29,6,-1,-1,-1,-1,-1,-1
20191362L1633,1,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,1968,2,2,-1,-1,-1
20191362L1633,2,9,0,3,0,8,0,0,0,0,2,1,6,2,62,9,1997,2,16,9,3,9
20191362M0779,1,9,0,5,0,8,0,0,0,0,1,1,6,1,39,7,1796,1,13,5,1,5
20191362M1177,1,11,0,18,0,8,0,0,0,0,1,1,1,1,47,8,4249,2,2,7,1,7
20191362M1495,1,3,0,18,0,0,0,0,0,0,1,1,6,1,25,5,125,1,3,1,1,1
20191362M1495,2,9,0,18,0,0,0,0,0,0,2,1,6,2,27,6,1956,2,8,3,1,3
20191362N1705,1,9,0,18,0,8,0,0,0,0,1,1,6,2,19,4,1399,1,10,1,1,1
20191362N1705,2,9,0,18,0,8,0,4,0,0,3,1,2,1,38,7,2143,2,1,5,1,5
20191362N1705,3,9,0,2,0,2,0,0,0,0,2,1,6,3,-1,-1,1299,1,17,-1,-1,-1
20191362O0485,1,8,0,7,0,6,0,0,0,0,1,1,1,1,44,7,1598,2,9,4,1,4
20191362O0485,2,1,0,18,0,8,5,0,0,0,4,1,6,1,50,8,-1,-1,-1,3,1,3
20191362O1829,1,9,0,18,0,1,0,0,0,0,3,1,6,2,21,5,1598,1,13,1,1,1
20191362O1829,2,9,0,18,0,1,0,0,0,0,4,1,6,1,68,10,-1,-1,-1,8,1,8
20191362P0747,1,9,0,9,0,8,0,0,0,0,3,1,6,1,67,10,1797,8,6,3,1,3
20191362P1000,1,9,0,7,0,0,0,0,0,0,1,1,6,2,48,8,1598,2,4,7,1,7
20191362P1823,1,1,0,18,0,8,0,0,0,0,3,1,6,1,19,4,-1,-1,-1,4,2,4
20191362P1823,2,9,0,18,0,8,0,0,0,0,1,1,6,1,63,9,1598,2,4,8,2,8
20191362P1823,3,9,0,18,0,8,0,0,0,0,1,1,6,2,60,9,1995,2,11,3,1,3
20191362Q0571,1,9,0,18,0,0,0,0,0,0,2,1,6,1,32,6,1997,1,19,1,1,1
20191362Q1330,1,9,0,18,0,0,0,0,0,0,1,1,2,1,64,9,1086,1,14,2,1,2
20191362R0445,1,9,0,4,0,1,0,0,0,0,1,1,6,1,25,5,3456,8,12,-1,-1,-1
20191362R0445,2,9,0,3,0,1,0,0,0,0,2,1,6,1,31,6,1988,1,17,2,1,2
20191362R1526,1,9,0,18,0,2,0,0,0,0,1,1,6,1,30,6,-1,-1,-1,2,1,2
20191362R1526,2,9,0,10,0,2,0,0,0,0,1,1,6,1,51,8,1997,2,7,4,1,4
20191362R1803,1,4,0,18,0,1,0,0,0,0,1,1,6,1,27,6,649,1,13,1,1,1
20191362R1803,2,9,0,9,0,8,0,0,0,0,2,1,1,1,57,9,1598,2,8,-1,-1,-1
20191362S1988,1,9,0,18,0,2,0,0,0,0,4,1,6,1,24,5,1598,2,6,3,1,3
20191362S1988,2,9,0,9,0,1,0,0,0,0,1,1,6,1,25,5,1968,2,14,1,1,1
2019136310287,1,9,0,18,0,8,0,0,0,0,1,1,6,1,33,6,2494,8,2,1,1,1
2019136321383,1,9,0,18,0,8,0,0,0,0,1,1,6,2,45,7,1490,1,10,1,1,1
2019136321383,2,9,0,9,0,8,0,0,0,0,1,1,6,2,35,6,1598,2,6,3,1,3
2019136330009,1,9,0,6,0,0,0,0,0,0,1,1,6,1,49,8,1896,2,10,-1,-1,-1
2019136330009,2,8,0,18,0,0,0,0,0,0,1,1,6,1,58,9,1968,2,5,2,1,2
2019136340320,1,9,0,3,0,0,0,0,0,0,2,1,3,2,36,7,1968,2,3,5,1,5
2019136340320,2,9,0,4,0,0,0,0,0,0,1,1,6,2,44,7,998,1,6,9,1,9
2019136340425,1,20,4,18,0,1,0,0,0,0,0,1,1,1,51,8,-1,-1,-1,7,1,7
2019136341295,1,9,0,18,0,2,0,0,0,0,1,1,6,1,59,9,1896,2,14,1,1,1
2019136341295,2,19,0,5,0,1,0,0,0,0,4,1,6,1,57,9,2402,2,13,1,1,1
2019136350321,1,9,0,9,0,1,0,0,0,0,1,1,6,2,56,9,999,1,1,4,1,4
2019136350321,2,1,0,18,4,1,0,0,0,0,3,1,6,1,34,6,-1,-1,-1,9,1,9
2019136351636,1,9,0,18,0,1,0,0,0,0,3,1,6,1,56,9,2198,2,13,-1,-1,-1
2019136351746,1,4,0,18,0,0,0,0,0,0,1,1,6,1,22,5,499,1,13,3,1,3
2019136351746,2,9,0,4,0,0,0,0,0,0,2,1,1,1,42,7,1968,2,5,1,1,1
2019136351746,3,9,0,4,0,0,0,0,0,0,0,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
2019136351813,1,9,0,7,0,5,0,0,8,4,1,1,6,1,21,5,1399,1,2,1,1,1
2019136360590,1,9,0,18,0,1,0,0,0,0,1,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
2019136360654,1,9,0,4,0,0,0,0,0,0,1,1,6,1,57,9,1598,2,2,2,1,2
