Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2019136360654,2,9,0,4,0,0,0,0,0,0,2,1,6,2,25,5,1598,1,5,10,1,10
2019136360654,3,9,0,4,0,0,0,0,0,0,2,1,6,2,22,5,1242,1,12,5,1,5
2019136361122,1,9,0,18,0,1,0,0,0,0,1,1,6,2,21,5,1229,1,12,2,1,2
2019136361122,2,19,0,9,0,6,0,0,0,0,3,1,6,1,60,9,-1,-1,-1,8,2,8
2019136361786,1,9,0,18,0,1,1,0,0,0,1,1,6,2,32,6,1984,1,4,-1,-1,-1
2019136361786,2,19,0,2,0,2,0,0,0,0,3,1,6,1,30,6,1995,2,2,-1,-1,-1
2019136381026,1,9,0,18,0,0,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019136381491,1,9,0,18,0,0,0,0,0,0,3,1,6,2,27,6,1598,2,5,1,1,1
2019136381925,1,9,0,10,0,1,0,0,0,0,1,1,6,1,48,8,1753,2,9,1,1,1
2019136381925,2,9,0,18,0,1,0,0,0,0,1,1,6,1,49,8,1596,1,16,1,1,1
2019136381931,1,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
2019136390437,1,9,0,18,0,8,1,11,1,1,4,1,6,1,21,5,1339,1,13,4,1,4
2019136390437,2,9,0,18,0,8,0,0,0,0,1,1,6,1,54,8,-1,-1,-1,4,1,4
2019136390962,1,9,0,13,0,8,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019136390962,2,9,0,18,0,8,5,0,1,11,3,1,6,1,73,10,1461,2,9,1,1,1
2019136391174,1,9,0,9,0,5,0,0,0,0,1,1,6,2,35,6,1596,1,17,4,1,4
2019136391174,2,8,0,18,0,1,0,0,0,0,1,1,1,1,53,8,1582,2,8,1,1,1
2019136391232,1,9,0,18,0,8,0,0,0,0,3,1,6,2,33,6,1995,2,1,3,1,3
20191363A0265,1,9,0,18,0,0,0,0,0,0,1,1,6,1,38,7,1896,2,13,3,1,3
20191363A1097,1,9,0,18,0,2,1,0,1,11,1,1,6,1,58,9,1397,1,17,3,1,3
20191363A1533,1,9,0,18,0,8,0,0,0,0,1,1,6,1,28,6,1560,2,9,2,1,2
20191363A1533,2,9,0,9,0,8,0,0,0,0,4,1,6,1,20,4,1598,2,7,1,1,1
20191363B0127,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191363B0235,1,9,0,18,0,1,0,0,0,0,4,1,6,2,58,9,3189,1,13,7,1,7
20191363B0235,2,9,0,18,0,2,0,0,0,0,1,1,6,1,30,6,1229,1,9,1,1,1
20191363B0472,1,9,0,18,0,8,0,0,0,0,1,1,6,1,78,11,1199,1,1,5,1,5
20191363B0472,2,9,0,18,0,8,0,0,0,0,1,1,6,2,73,10,-1,-1,-1,6,2,6
20191363B0606,1,9,0,18,0,8,0,0,0,0,1,1,6,1,51,8,1685,2,2,-1,-1,-1
20191363B0606,2,9,0,9,0,8,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
20191363B1046,1,1,0,18,0,0,5,0,0,0,0,1,6,2,54,8,-1,-1,-1,10,1,10
20191363C0591,1,9,0,18,0,0,0,0,0,0,1,1,1,1,30,6,1598,2,4,7,1,7
20191363C0591,2,9,0,18,0,0,0,0,0,0,1,1,1,1,68,10,-1,-1,-1,3,1,3
20191363C1196,1,9,0,18,0,0,0,0,0,0,1,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
20191363C1196,2,9,0,18,0,0,0,0,0,0,2,1,6,2,19,4,1242,1,10,8,1,8
20191363D0905,1,9,0,9,0,5,0,0,0,0,1,1,1,1,51,8,1791,8,8,1,1,1
20191363D1257,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,1560,2,7,-1,-1,-1
20191363D1257,2,9,0,9,0,0,0,0,0,0,2,1,6,1,22,5,999,1,3,9,2,9
20191363D1660,1,9,0,18,0,8,0,0,0,0,1,1,6,1,33,6,1598,2,8,1,1,1
20191363D1660,2,9,0,18,0,8,0,0,0,0,1,1,6,1,33,6,-1,-1,-1,1,1,1
20191363D1667,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191363E0050,1,9,0,18,0,0,0,0,0,0,1,1,6,1,37,7,3800,1,6,-1,-1,-1
20191363E0050,2,21,1,18,0,0,0,0,0,0,2,1,1,1,47,8,10837,2,4,1,2,1
20191363E0281,1,9,0,18,0,1,0,0,0,0,1,1,6,2,23,5,1597,2,3,9,1,9
20191363E0281,2,9,0,18,0,1,0,0,0,0,2,1,6,1,35,6,2143,2,6,1,1,1
20191363E1291,1,9,0,18,0,8,0,0,0,0,1,1,6,1,24,5,1896,2,13,1,1,1
20191363E1291,2,9,0,18,0,8,0,0,0,0,4,1,6,2,55,8,1242,1,5,3,1,3
20191363F0380,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191363F0380,2,19,0,18,0,8,0,0,0,0,4,1,6,2,20,4,1968,2,2,-1,-1,-1
20191363F0799,1,9,0,9,0,6,0,0,0,0,1,1,6,1,87,11,1364,1,7,9,1,9
20191363F0799,2,9,0,18,0,1,0,0,0,0,1,1,6,1,26,6,2143,2,2,10,1,10
20191363F1887,1,8,0,18,0,1,0,0,0,0,4,1,6,1,67,10,1896,2,10,5,1,5
20191363F1887,2,9,0,18,0,1,0,0,0,0,3,1,1,1,27,6,998,1,20,2,1,2
20191363G0885,1,9,4,5,0,8,0,0,0,0,4,1,6,2,28,6,2982,2,7,2,1,2
20191363G0885,2,1,0,4,0,1,0,0,0,0,1,1,6,1,28,6,-1,-1,-1,3,1,3
20191363G0929,1,8,0,5,0,0,0,0,0,0,1,1,6,1,40,7,1598,2,8,-1,-1,-1
20191363G0929,2,9,0,18,0,0,0,0,0,0,4,1,6,2,45,7,996,1,5,1,1,1
20191363G1910,1,9,0,7,0,1,0,0,0,0,1,1,6,1,22,5,1395,1,3,4,1,4
20191363G1910,2,9,0,18,0,1,0,0,0,0,1,1,6,1,69,10,-1,3,2,6,1,6
20191363H0936,1,9,0,18,0,0,0,0,0,0,2,1,6,2,48,8,2993,2,8,2,1,2
20191363H0936,2,9,0,18,0,0,0,0,0,0,1,1,6,1,39,7,1586,1,17,1,1,1
20191363I1545,1,9,0,18,0,0,0,10,7,2,1,1,6,1,31,6,1798,8,2,1,1,1
20191363J1156,1,9,0,11,0,8,0,0,0,0,4,1,6,1,34,6,1598,1,13,1,1,1
20191363J1156,2,9,0,18,0,8,0,0,0,0,3,1,6,1,30,6,1363,2,17,3,1,3
20191363J1894,1,9,0,18,0,6,0,0,8,11,3,1,6,2,40,7,998,1,20,1,1,1
20191363J1894,2,9,0,18,0,1,0,0,0,0,1,1,6,2,19,4,1390,1,10,1,1,1
20191363J1997,1,9,0,18,0,0,0,0,0,0,1,1,6,2,39,7,1328,1,13,8,3,8
20191363K1492,1,9,0,1,0,0,0,0,0,0,2,1,6,1,72,10,1999,1,14,4,1,4
20191363M0447,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191363M0447,2,9,0,18,0,8,0,0,0,0,3,1,6,1,68,10,1598,1,15,1,1,1
20191363N0786,1,19,0,18,0,1,0,0,0,0,1,1,1,1,45,7,2148,2,14,3,1,3
20191363N0786,2,9,0,4,0,1,0,0,0,0,2,1,6,2,43,7,1242,1,12,10,1,10
20191363N0786,3,9,0,18,0,8,0,0,0,0,3,1,6,2,34,6,1598,2,5,-1,-1,-1
20191363N2107,1,9,0,18,0,0,0,0,2,2,1,1,6,2,48,8,1598,1,11,6,2,6
20191363O0168,1,9,0,18,0,0,5,4,0,0,1,1,6,1,38,7,1968,2,1,1,1,1
20191363O0168,2,9,0,2,0,0,0,0,0,0,1,1,6,3,-1,-1,998,1,4,-1,-1,-1
20191363O0168,3,9,0,2,0,0,0,0,0,0,0,1,6,3,-1,-1,1560,2,6,-1,-1,-1
20191363O0813,1,9,0,18,0,2,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191363O2024,1,9,0,18,0,8,0,0,0,0,4,1,6,1,18,4,1461,2,-1,3,1,3
20191363O2024,2,9,0,18,0,8,0,0,0,0,3,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191363P0892,1,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1200,1,1,-1,-1,-1
20191363P0892,2,9,0,18,0,0,0,0,0,0,1,1,6,1,27,6,1598,2,4,7,1,7
20191363P0923,1,9,0,18,0,0,5,0,0,0,4,1,6,2,55,8,1242,1,9,6,1,6
20191363P0923,2,9,0,2,0,0,0,0,0,0,3,1,6,2,-1,-1,1499,1,3,-1,-1,-1
20191363P1658,1,9,0,18,0,0,1,0,0,0,1,1,6,1,24,5,2494,1,30,2,1,2
20191363P1658,2,9,0,2,0,0,0,0,0,0,1,1,6,1,30,6,2993,2,13,2,1,2
20191363P2073,1,5,0,18,0,8,0,0,0,0,1,1,2,1,39,7,998,1,16,6,1,6
20191363P2073,2,90,0,18,0,8,0,0,0,0,4,1,1,2,36,7,2287,2,-1,8,1,8
20191363P2073,3,9,0,4,0,8,0,0,0,0,3,1,6,1,32,6,1968,2,13,2,1,2
20191363Q0318,1,9,0,7,0,1,0,0,0,0,2,1,6,1,43,7,1598,2,3,8,1,8
20191363Q0318,2,1,0,18,0,1,0,0,0,0,3,1,2,1,52,8,-1,-1,-1,9,1,9
20191363R1082,1,9,0,18,0,0,0,0,0,0,3,1,6,2,21,5,1242,1,6,-1,-1,-1
20191363R1179,1,5,0,9,0,8,5,0,0,0,3,1,6,1,67,10,1700,1,3,3,1,3
20191363R1410,1,9,0,18,0,0,0,0,0,0,0,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
20191363R1410,2,9,0,18,0,0,0,0,0,0,1,1,2,2,55,8,1598,1,14,5,1,5
20191363R1410,3,9,0,18,0,0,0,0,0,11,1,1,2,2,19,4,1198,1,13,2,1,2
20191363S0395,1,8,0,9,0,5,0,0,0,0,1,1,1,1,63,9,1797,8,10,1,1,1
20191363S0502,1,9,0,18,0,1,0,0,0,0,1,1,6,2,73,10,1299,1,12,10,1,10
20191363S0502,2,9,0,2,0,1,0,0,0,0,2,1,6,3,-1,-1,1968,2,3,-1,-1,-1
20191363S1720,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191363T0003,1,9,0,9,0,5,0,0,0,0,1,1,6,1,-1,-1,1396,1,12,-1,-1,-1
20191363T0278,1,9,0,18,0,0,0,0,0,0,1,1,2,1,25,5,1242,1,17,3,1,3
20191363T0278,2,19,0,4,0,0,0,0,0,0,2,1,1,1,34,6,2998,2,4,7,1,7
20191363U0614,1,9,4,18,0,8,0,0,0,0,1,1,6,1,40,7,1242,1,8,5,1,5
20191363U0614,2,3,0,18,0,8,0,0,0,0,2,1,6,2,46,8,948,1,1,5,1,5
20191363V0543,1,9,0,18,0,0,0,4,0,0,1,1,6,2,30,6,1560,2,9,5,1,5
20191363V0543,2,9,0,2,0,0,0,0,0,0,2,1,6,3,-1,-1,1390,1,14,-1,-1,-1
20191363V0565,1,8,0,18,0,8,0,0,0,0,1,1,1,1,42,7,-1,-1,-1,1,1,1
20191363V0565,2,9,0,18,0,8,0,0,0,0,3,1,6,1,26,6,998,1,1,3,1,3
2019136411131,1,19,0,9,0,1,0,0,0,0,1,1,6,1,33,6,1870,2,16,2,1,2
2019136411131,2,9,0,18,0,1,0,0,0,0,1,1,6,2,46,8,1149,1,8,1,1,1
2019136420434,1,19,0,9,0,6,0,0,0,0,2,1,6,1,33,6,1598,2,3,1,1,1
2019136420434,2,1,0,18,0,8,0,0,0,0,1,1,6,1,36,7,-1,-1,-1,8,1,8
2019136420646,1,11,0,18,0,0,0,0,0,0,4,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1
2019136431379,1,11,0,18,0,0,0,0,0,0,1,1,1,1,53,8,9360,2,11,1,1,1
2019136440548,1,9,0,1,0,0,0,0,0,0,2,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
2019136440607,1,9,0,9,0,6,0,0,0,0,3,1,6,3,-1,-1,1399,2,9,-1,-1,-1
2019136440607,2,9,0,18,0,1,0,0,0,0,1,1,6,1,17,4,1398,1,4,-1,-1,-1
2019136440607,3,9,0,2,0,1,0,0,0,0,3,1,6,3,-1,-1,1968,2,1,-1,-1,-1
2019136441327,1,9,0,18,0,1,0,0,0,11,4,1,6,2,19,4,1397,1,7,10,1,10
2019136441327,2,9,0,7,0,2,0,0,0,0,1,1,6,2,56,9,2143,2,1,4,1,4
2019136461152,1,9,0,4,0,1,0,0,0,0,2,1,6,2,56,9,1598,2,3,5,1,5
2019136461152,2,9,0,4,0,1,0,0,0,0,2,1,6,2,48,8,-1,-1,-1,1,1,1
2019136461152,3,19,0,4,0,1,0,0,0,0,1,1,1,1,22,5,1560,2,3,6,1,6
2019136461996,1,9,0,5,0,8,0,0,0,0,1,1,2,2,33,6,1364,1,10,3,1,3
2019136461996,2,9,0,18,0,8,0,0,0,0,1,1,6,2,66,10,998,1,10,1,1,1
2019136462168,1,9,0,7,0,5,1,0,0,0,1,1,6,1,29,6,1686,2,6,1,1,1
2019136462168,2,9,0,18,0,2,0,0,0,0,3,1,6,3,-1,-1,1598,2,1,-1,-1,-1
2019136471003,1,8,0,5,0,0,0,0,0,0,1,1,1,1,29,6,1797,8,4,1,1,1
2019136471003,2,9,0,18,0,0,0,0,0,0,4,1,6,2,48,8,1364,1,10,2,1,2
2019136471300,1,19,0,1,0,0,0,0,0,0,2,1,1,1,44,7,2143,2,8,2,1,2
2019136471300,2,9,0,18,0,0,0,0,0,0,4,1,6,1,34,6,1229,1,10,3,1,3
2019136480090,1,9,0,16,0,1,0,0,8,1,3,1,6,1,44,7,2979,1,18,-1,-1,-1
2019136480090,2,9,0,16,0,1,0,0,0,0,0,1,6,1,41,7,2967,2,10,-1,-1,-1
2019136480205,1,9,0,13,0,0,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019136480205,2,1,0,18,0,0,0,0,0,0,3,1,2,1,56,9,-1,-1,-1,9,1,9
2019136481073,1,9,0,17,0,0,0,0,0,0,1,1,1,1,30,6,-1,-1,-1,1,1,1
2019136481073,2,9,0,2,0,0,0,0,0,0,2,1,3,1,51,8,2993,2,10,1,1,1
2019136491639,1,9,0,18,0,1,0,0,0,0,1,1,6,1,-1,-1,999,1,-1,-1,-1,-1
2019136491639,2,9,0,18,0,1,0,0,0,0,1,1,6,1,50,8,1997,2,11,3,1,3
20191364A1570,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,1896,2,14,-1,-1,-1
20191364A1570,2,9,0,18,0,8,0,0,0,0,3,1,6,1,39,7,1461,2,3,4,1,4
20191364A1570,3,9,0,2,0,8,0,0,0,0,2,1,6,2,63,9,1360,1,15,4,1,4
20191364B0205,1,21,1,18,0,1,0,0,0,0,1,1,1,1,33,6,12742,2,1,9,3,9
20191364B0205,2,9,0,3,0,2,0,0,0,0,2,1,2,1,53,8,1896,2,14,1,1,1
20191364B0592,1,9,0,15,0,0,0,0,0,0,1,1,6,1,78,11,1373,1,2,-1,-1,-1
20191364B0592,2,1,0,15,0,0,0,0,0,0,2,1,6,1,57,9,-1,-1,-1,8,2,8
20191364B1065,1,9,0,18,0,8,0,0,3,11,1,1,6,3,-1,-1,1596,1,15,-1,-1,-1
20191364B1065,2,10,0,18,0,8,5,0,3,11,4,1,6,1,32,6,2143,2,8,1,1,1
20191364B2077,1,1,0,18,0,1,0,0,0,0,1,1,6,1,20,4,-1,-1,-1,1,1,1
20191364B2077,2,9,0,7,0,1,0,0,0,0,3,1,6,1,24,5,1968,2,5,8,1,8
20191364C0881,1,9,0,18,0,0,0,0,0,0,1,1,6,2,35,6,1968,2,11,2,1,2
20191364C0881,2,19,0,2,0,0,0,0,0,0,0,1,6,1,37,7,2198,2,6,4,1,4
20191364C1076,1,11,0,18,0,1,0,0,0,0,1,1,1,1,24,5,5132,2,4,1,1,1
20191364C1076,2,9,0,7,0,1,0,0,0,0,4,1,6,2,38,7,1968,2,3,5,1,5
20191364C1846,1,9,0,18,0,0,0,0,0,0,1,1,6,1,36,7,1995,2,9,1,1,1
20191364C1846,2,9,0,2,0,0,0,0,0,0,2,1,6,1,22,5,1968,2,6,4,1,4
20191364C2107,1,9,0,7,0,8,0,0,0,0,4,1,6,1,50,8,1998,1,18,5,1,5
20191364C2107,2,9,0,18,0,8,0,0,0,0,3,1,6,1,34,6,1149,1,13,1,1,1
20191364D1175,1,3,0,18,0,0,1,0,0,0,4,1,6,1,48,8,124,1,7,1,1,1
20191364D1288,1,9,0,18,0,0,0,0,0,0,3,1,6,1,25,5,1968,2,1,1,1,1
20191364D1288,2,9,0,18,0,0,1,4,0,0,4,1,6,2,21,5,1329,1,9,1,1,1
20191364D1288,3,9,0,2,0,0,0,0,0,0,1,1,6,3,-1,-1,1248,2,10,1,1,1
20191364E1919,1,9,0,18,0,0,2,4,7,2,1,1,6,1,20,4,1896,2,11,1,1,1
20191364G1067,1,19,0,18,0,8,5,0,0,0,3,1,1,1,26,6,2198,2,3,3,1,3
20191364G1067,2,9,0,18,0,8,0,0,0,0,1,1,6,1,20,4,999,1,3,10,2,10
20191364H1357,1,9,0,18,0,8,0,0,0,0,1,1,6,2,39,7,1968,2,1,3,1,3
20191364H1357,2,9,0,2,0,2,0,0,0,0,2,1,6,1,54,8,2720,2,13,-1,-1,-1
20191364H1357,3,19,0,18,0,6,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191364H2044,1,9,0,18,0,1,0,0,0,0,4,1,6,1,48,8,1995,2,8,1,1,1
20191364H2044,2,9,0,18,0,8,0,0,0,0,1,1,6,1,37,7,1968,2,11,2,1,2
20191364I0671,1,8,0,18,0,0,0,0,0,0,1,1,1,1,48,8,1968,2,9,1,1,1
20191364I0671,2,1,0,18,0,0,0,0,0,0,1,1,6,1,8,2,-1,-1,-1,3,1,3
20191364I2065,1,9,0,3,0,8,0,0,0,0,2,1,6,2,21,5,1388,1,10,5,1,5
20191364I2065,2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191364J0604,1,9,0,12,0,6,0,0,0,0,2,1,6,1,58,9,1422,2,9,2,1,2
20191364J0604,2,9,0,18,0,8,1,0,0,0,1,1,6,1,37,7,2354,1,16,2,1,2
20191364K0829,1,8,0,18,0,0,0,0,0,0,4,1,1,1,29,6,1560,2,8,1,1,1
20191364K1425,1,9,0,18,0,0,0,0,0,0,4,1,6,2,29,6,1968,2,6,1,1,1
20191364K1425,2,9,0,18,0,0,0,0,0,0,3,1,6,2,24,5,1598,2,4,1,1,1
20191364L1015,1,9,0,15,0,0,0,0,0,0,4,1,6,2,78,11,1329,1,4,9,1,9
20191364L1015,2,1,0,18,0,0,0,0,0,0,3,1,6,1,61,9,-1,-1,-1,3,1,3
20191364L1718,1,9,0,9,0,8,0,0,0,0,1,1,6,1,24,5,1332,1,21,4,1,4
20191364L1718,2,9,0,18,0,8,0,0,0,0,1,1,6,1,26,6,1968,2,8,3,1,3
20191364M0391,1,9,0,18,0,8,0,0,0,0,1,1,1,2,57,9,1242,1,5,5,1,5
20191364M0391,2,9,0,18,0,8,5,0,0,0,4,1,1,2,33,6,998,1,6,1,1,1
20191364M0530,1,17,0,18,0,1,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
20191364M0530,2,9,0,18,0,1,0,0,0,0,2,1,6,1,62,9,1598,1,11,1,1,1
20191364N1810,1,9,0,5,0,0,0,0,0,0,4,1,6,1,62,9,1896,2,12,1,1,1
20191364O0771,1,9,0,18,0,0,0,0,0,0,4,1,6,1,77,11,1499,2,3,6,1,6
20191364P1715,1,9,0,18,0,1,0,0,0,0,1,1,6,1,32,6,1998,1,15,4,1,4
20191364R0892,1,9,0,18,0,1,0,0,1,0,1,1,6,1,18,4,-1,-1,-1,1,1,1
20191364R0892,2,9,0,4,0,1,0,0,0,0,2,1,6,1,19,4,1968,2,12,2,1,2
20191364R0892,3,9,0,2,0,1,0,0,0,0,2,1,6,3,30,6,2143,2,1,-1,-1,-1
20191364R0892,4,9,0,2,0,1,0,0,0,0,2,1,6,3,30,6,2143,2,4,-1,-1,-1
20191364R1473,1,9,0,18,0,8,0,0,0,0,1,1,6,1,50,8,1598,2,5,2,1,2
20191364R1473,2,9,0,9,0,5,0,0,0,0,1,1,6,2,35,6,1896,2,16,3,1,3
20191364S0975,1,9,0,18,0,0,0,0,0,0,2,1,6,1,37,7,1997,2,9,9,1,9
20191364S0975,2,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1995,2,9,-1,-1,-1
20191364T1052,1,9,0,18,0,6,0,10,0,0,1,1,6,3,-1,-1,1997,2,16,-1,-1,-1
20191364T1052,2,9,0,18,0,5,0,0,0,0,1,1,6,2,29,6,1598,2,6,1,1,1
20191364U0364,1,9,0,7,0,8,0,0,0,0,1,1,6,1,82,11,1206,1,5,1,1,1
20191364U0364,2,19,0,18,0,8,0,0,0,0,1,1,1,1,31,6,2198,2,3,7,1,7
20191364U0394,1,9,0,18,0,8,0,0,0,0,3,1,6,2,28,6,1968,2,10,-1,-1,-1
20191364U0394,2,19,0,18,0,8,0,0,0,0,4,1,1,1,43,7,-1,-1,-1,1,1,1
20191364U0394,3,9,0,18,0,8,0,0,0,0,3,1,6,1,44,7,1390,1,12,5,1,5
2019136510316,1,9,0,18,0,0,0,0,0,0,4,1,6,3,-1,-1,1198,1,8,-1,-1,-1
2019136510316,2,1,0,18,0,0,0,0,0,0,3,1,6,1,44,7,-1,-1,-1,8,1,8
2019136511117,1,9,0,9,0,6,0,0,0,0,3,1,6,2,44,7,1969,2,3,-1,-1,-1
2019136511117,2,9,0,18,0,1,0,0,0,0,1,1,6,1,27,6,2993,2,10,-1,-1,-1
2019136511214,1,19,0,7,0,1,0,0,0,0,4,1,6,1,21,5,2198,2,5,6,1,6
2019136511214,2,1,0,18,0,1,0,0,0,0,3,1,6,2,48,8,-1,-1,-1,3,1,3
2019136511434,1,9,0,7,0,6,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019136511434,2,1,0,18,0,1,0,0,0,0,4,1,6,1,45,7,-1,-1,-1,6,1,6
2019136511722,1,9,0,18,0,6,0,0,7,11,1,1,6,2,18,4,1242,1,7,9,1,9
2019136511722,2,9,0,18,0,8,0,0,0,0,1,1,6,1,41,7,1598,2,9,1,1,1
2019136520964,1,9,0,18,0,8,0,0,3,11,1,1,6,1,25,5,1596,1,18,1,1,1
2019136520964,2,9,0,9,0,8,0,0,0,0,3,1,6,2,27,6,1360,1,14,1,1,1
2019136521168,1,9,0,14,0,0,0,0,0,0,1,1,6,1,37,7,1499,2,4,1,1,1
2019136521277,1,9,0,18,0,1,0,0,0,0,1,1,6,1,37,7,1598,1,14,8,1,8
2019136531342,1,9,0,18,0,0,0,0,0,0,1,1,6,1,30,6,2720,2,11,1,1,1
2019136531792,1,9,0,18,0,6,0,0,0,0,1,1,6,1,40,7,1896,2,11,5,1,5
2019136531792,2,9,0,18,0,8,0,0,7,0,4,1,6,1,18,4,1199,2,5,1,1,1
2019136540437,1,9,4,18,0,5,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019136540437,2,1,0,18,0,8,0,0,0,0,1,1,6,1,37,7,-1,-1,-1,1,1,1
2019136541161,1,9,0,9,0,1,0,0,0,0,1,1,6,2,31,6,1248,2,11,1,1,1
2019136541161,2,8,0,18,0,1,0,0,0,0,1,1,6,1,29,6,-1,-1,-1,1,1,1
2019136541471,1,9,0,17,0,0,0,0,0,4,1,1,6,1,26,6,1995,2,6,1,1,1
2019136541548,1,9,0,18,0,4,0,0,0,0,3,1,6,2,28,6,1364,1,11,5,1,5
2019136541548,2,8,0,18,0,8,0,0,0,0,1,1,6,1,37,7,1968,2,10,3,1,3
2019136550886,1,9,0,7,0,8,0,0,0,0,2,1,6,1,48,8,1896,2,18,2,1,2
2019136550886,2,9,0,18,0,8,0,0,0,0,1,1,6,1,28,6,1998,2,11,1,1,1
2019136551348,1,9,0,18,0,8,0,0,0,0,1,1,1,2,42,7,-1,-1,-1,1,1,1
2019136551348,2,9,0,9,0,8,0,0,0,0,4,1,6,1,44,7,2148,2,11,2,1,2
2019136571677,1,9,0,18,0,1,0,0,7,0,1,1,6,1,26,6,1968,2,5,3,1,3
2019136571677,2,9,0,4,0,6,1,0,0,0,3,1,6,1,21,5,1084,1,1,3,1,3
2019136580282,1,9,0,18,0,0,0,0,0,0,4,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
2019136580904,1,9,0,4,0,1,0,0,0,0,1,1,6,1,27,6,1968,2,6,5,1,5
2019136580904,2,9,0,3,0,1,0,0,0,0,2,1,6,1,48,8,1461,2,8,4,1,4
2019136590833,1,21,0,7,0,8,0,0,0,0,1,1,1,1,60,9,4500,2,2,4,1,4
20191365A1304,1,8,0,18,0,0,0,0,0,0,1,1,1,1,59,9,1598,2,7,1,1,1
20191365A1304,2,9,0,3,0,0,0,0,0,0,2,1,6,2,22,5,1390,1,5,4,1,4
20191365A1304,3,9,0,3,0,0,0,0,0,0,2,1,6,2,63,9,1499,2,2,2,1,2
